	45	17
	50	23
	41	26
	74	26
	51	30
	62	34
	63	39
	46	37
	43	40
	51	42
	125	42
	127	48
	127	51
	122	51
	120	45
	131	56
	119	55
	122	57
	118	61
	127	62
	103	63
	116	72
	94	88
	77	82
	100	98
	102	100
	105	101
	90	107
	95	108
	95	113
	2	71
	9	62
	11	71
	13	69
	15	68
	17	71
	20	78
	23	68
	53	18
	65	23
	57	26
	63	28
	54	31
	61	38
	48	35
	49	38
	49	41
	59	46
	126	45
	129	47
	124	53
	120	50
	118	47
	124	56
	118	57
	124	58
	120	63
	130	64
	113	68
	109	90
	78	88
	78	79
	94	99
	97	100
	93	102
	92	109
	103	111
	93	115
	8	78
	11	65	
	11	79
	14	83
	15	72
	19	66
	23	75

